Value,Posit16,Posit32,Fixpnt16,Float,Double
0.000000,0.000631,0.000632,6.617188,0.000632,0.000632
0.000001,0.000893,0.000894,-9.363281,0.000894,0.000894
0.000003,0.001789,0.001789,0.000000,0.001789,0.001789
0.000006,0.002533,0.002530,0.000000,0.002530,0.002530
0.000013,0.003578,0.003578,0.000000,0.003578,0.003578
0.000026,0.005058,0.005060,0.000000,0.005060,0.005060
0.000051,0.007153,0.007155,0.000000,0.007155,0.007155
0.000102,0.010117,0.010119,0.000000,0.010119,0.010119
0.000205,0.014305,0.014311,0.000000,0.014311,0.014311
0.000410,0.020233,0.020239,0.000000,0.020239,0.020239
0.000819,0.028625,0.028622,0.000000,0.028622,0.028622
0.001638,0.040466,0.040477,0.000000,0.040477,0.040477
0.003277,0.057251,0.057243,0.000000,0.057243,0.057243
